nom,statut,date
Acheter du lait,1,
Répondre aux emails,1,
Préparer la réunion,1,
Faire du sport,1,
Lire un livre,1,
Sortir les poubelles,1,
Coder une nouvelle fonctionnalité,1,
Rédiger un rapport,1,
Réviser pour l'examen,1,
Planifier les vacances,1,
Passer un appel important,1,
Faire les courses,1,
Envoyer une facture,1,
Organiser les fichiers,1,
Réparer le robinet,1,
Regarder un tutoriel,1,
Faire une sauvegarde des données,1,
Réserver un restaurant,1,
Faire le ménage,1,
Tondre la pelouse,3,2025-02-01
